iso,gadm1_id,name,ia_name,lat,lon
AFG,1,Badakhshan,Badakhshan,37.03289451,71.45897704
AFG,2,Badghis,Badghis,35.13975141,63.75269571
AFG,3,Baghlan,Baghlan,35.70536179,68.71387646
AFG,4,Balkh,Balkh,36.64802772,67.1349565
AFG,5,Bamyan,Bamyan,34.7214186,67.18130711
AFG,6,Farah,Farah,32.60505249,62.30092007
AFG,7,Faryab,Faryab,36.06923161,64.86355891
AFG,8,Ghazni,Ghazni,33.28918056,67.82718153
AFG,9,Ghor,Ghor,34.18288093,64.88651998
AFG,10,Hilmand,Helmand,31.13985555,64.01518233
AFG,11,Hirat,Herat,34.1907492,62.12151595
AFG,12,Jawzjan,Jowzjan,36.81843686,65.86623081
AFG,13,Kabul,Kabul,34.55905101,69.31089753
AFG,14,Kandahar,Kandahar,30.97302091,65.6991551
AFG,15,Kapisa,Kapisa,34.96281836,69.61836759
AFG,16,Khost,Khost,33.37244092,69.87197537
AFG,17,Kunar,Kunar,34.96438276,71.11573116
AFG,18,Kunduz,Kunduz,36.83955567,68.75136147
AFG,19,Laghman,Laghman,34.75615296,70.14318984
AFG,20,Logar,Logar,33.99334929,69.07781395
AFG,21,Nangarhar,Nangarhar,34.27492383,70.46825118
AFG,22,Nimroz,Nimroz,30.80517458,62.31349237
AFG,23,Nuristan,Nuristan,35.4116003,70.7999086
AFG,24,Paktika,Paktika,32.47780476,68.75298467
AFG,25,Paktya,Paktia,33.68051185,69.42430828
AFG,26,Parwan,Parwan,35.15501239,69.24545502
AFG,27,Samangan,Samangan,35.94945886,67.74055976
AFG,28,Sari Pul,Sar-e Pol,35.71464532,66.16863199
AFG,29,Takhar,Takhar,36.7041762,69.77898618
AFG,30,Uruzgan,Uruzgan,33.3661659,66.10932011
AFG,31,Wardak,Wardak,34.3171528,68.2841705
AFG,32,Zabul,Zabul,32.23606874,67.10499807
AGO,33,Bengo,Bengo,-8.97773979,13.88141284
AGO,34,Benguela,Benguela ,-12.93351178,13.98970632
AGO,35,Bié,Bié,-12.32493314,17.36258118
AGO,36,Cabinda,Cabinda,-5.044368962,12.47610973
AGO,37,Cuando Cubango,Cuando-Cubango,-16.11853763,19.51642258
AGO,38,Cuanza Norte,Cuanza Norte,-8.898622348,14.94596059
AGO,39,Cuanza Sul,Cuanza Sul,-10.82598036,15.04484952
AGO,40,Cunene,Cunene,-16.50351289,15.57852027
AGO,41,Huambo,Huambo,-12.56917165,15.74563381
AGO,42,Huíla,Huíla,-14.74288032,14.95009645
AGO,43,Luanda,Luanda,-8.979736463,13.31045117
AGO,44,Lunda Norte,Lunda Norte,-8.650260757,19.49361618
AGO,45,Lunda Sul,Lunda Sul,-10.17617016,20.65587529
AGO,46,Malanje,Malange,-9.49005596,16.95820485
AGO,47,Moxico,Moxico,-12.87968185,21.04009647
