ipc,numer_people_reached_target
BBF-HT-10-036,
BBF-HT-10-037,
BBF-HT-10-038,
BBF-HT-10-039,
BBF-HT-10-040,
BBF-HT-10-041,
BBF-HT-10-042,
TZU-HT-10-TZHT-01,351
TZU-HT-10-TZHT-02,295
TZU-HT-10-TZHT-03,191
TZU-HT-10-TZHT-04,439
TZU-HT-10-TZHT-05,325
TZU-HT-10-TZHT-06,411
TZU-HT-10-TZHT-07,329
TZU-HT-10-TZHT-08,311
TZU-HT-10-TZHT-09,309
TZU-HT-10-TZHT-10,219
TZU-HT-10-TZHT-11,432
TZU-HT-10-TZHT-12,491
TZU-HT-10-TZHT-13,279
TZU-HT-10-TZHT-14,157
CARE-HT-10-001,
CARE-HT-10-002,
CARE-HT-10-003,
CARE-HT-10-004,
CARE-HT-10-005,
CARE-HT-10-006,
CARE-HT-10-007,
CARE-HT-10-008,
CARE-HT-10-009,
CRS-HT-10-7420087,900
CRS-HT-10-7420107,4800
CRS-HT-10-7420110,2475
CRS-HT-10-7420114,144060
CRS-HT-10-7420124,5000
CRS-HT-10-7420133,40000
CRS-HT-10-7420142,30563
CRS-HT-10-7420143,17625
CRS-HT-10-7420146,100000
CRS-HT-10-7420147,6000
CRS-HT-10-7420149/7420150,9814
CRS-HT-10-7420151,150
CRS-HT-10-7420153,125000
CRS-HT-10-7420155,4915
CRS-HT-10-7420201,1000000
CRS-HT-10-7420202,10000
CRS-HT-10-7420203,251170
CRS-HT-10-7420204,200000
CRS-HT-10-7420205,50000
CRS-HT-10-7420206,30081
CRS-HT-10-7420207,78291
CRS-HT-10-7424000,15000
CRS-HT-10-7425015/74205016/74205017-23,13600
CRS-HT-10-7430117,20
CHF-HT-10-001,
CHF-HT-10-002,
CBM-HT-10-001,
CBM-HT-10-002,1200
CBM-HT-10-003,2000
CBM-HT-10-004,
CBM-HT-10-005,
CBM-HT-10-006,2000
CBM-HT-10-007,
CBM-HT-10-008,
CBM-HT-10-009,
CRWRC-HT-10-OR 2010-17,9000
CRWRC-HT-10-OR 2010-18,9600
CRWRC-HT-10-OR 2010-23,3000
CRWRC-HT-10-OR 2010-24,25
CWS-HT-10-001,5000
CWS-HT-10-002,1000
CWS-HT-10-003,1000
CWS-HT-10-004,740
CWS-HT-10-005,600
CWS-HT-10-006,3000
CWS-HT-10-007,50000
CWS-HT-10-008,100000
CWS-HT-10-009,250
CWS-HT-10-010,15000
CPINT-HT-10-OFR 209,
CPINT-HT-10-OFR 210,
CPINT-HT-10-OFR 211,
CPINT-HT-10-OFR 212,
CPINT-HT-10-OFR 213,
CPINT-HT-10-OFR 215,
CPINT-HT-10-PAH 10-03-COC-001,
DRI-HT-10-001,
DRI-HT-10-1230,
DRI-HT-10-1235,
DRI-HT-10-1243,
DRI-HT-10-1274,
DRI-HT-10-1316,
DRI-HT-10-1361,
DRI-HT-10-1374,
DRI-HT-10-4800,
DRI-HT-10-6739,
DRI-HT-10-8606,
DRI-HT-10-8611,
DRI-HT-10-8624,
DRI-HT-10-8642,
DRI-HT-10-8790,
DRI-HT-10-8806,
DRI-HT-10-8910,
DRI-HT-10-8913,
DRI-HT-10-8915,
DRI-HT-10-8918,
DRI-HT-10-8919,
DRI-HT-10-8920,
DRI-HT-10-8922,
DRI-HT-10-8937,
DRI-HT-10-8939,
DRI-HT-10-8941,
DRI-HT-10-8944,
DRI-HT-10-8946,
DRI-HT-10-8951,
DRI-HT-10-8952,
DRI-HT-10-8953,
DRI-HT-10-8954,
DRI-HT-10-8955,
DRI-HT-10-9001,
DRI-HT-10-9003,
DRI-HT-10-9051,
DRI-HT-10-9052,
DRI-HT-10-9053,
DRI-HT-10-9054,
DRI-HT-10-9071,
DRI-HT-10-9120,
DRI-HT-10-9123,
DRI-HT-10-9130,
DRI-HT-10-9138,
DRI-HT-10-9275,
DRI-HT-10-9313,
DRI-HT-10-9388,
DRI-HT-10-9420,
DRI-HT-10-972,
DRI-HT-10-Grant 1,108000
DRI-HT-10-Grant 10,4000
DRI-HT-10-Grant 11,2000
DRI-HT-10-Grant 12,280
DRI-HT-10-Grant 13,150
DRI-HT-10-Grant 14,200
DRI-HT-10-Grant 15,80
DRI-HT-10-Grant 16,30000
DRI-HT-10-Grant 17,25000
DRI-HT-10-Grant 18,2000000
DRI-HT-10-Grant 19,31+
DRI-HT-10-Grant 2,300
DRI-HT-10-Grant 20,500
DRI-HT-10-Grant 21,100000
DRI-HT-10-Grant 3,3600
DRI-HT-10-Grant 4,6000
DRI-HT-10-Grant 5,400
DRI-HT-10-Grant 6,350
DRI-HT-10-Grant 7,3640
DRI-HT-10-Grant 8,10000
DRI-HT-10-Grant 9,15000
ERD-HT-10-001,63500
ERD-HT-10-002,4889
ERD-HT-10-003,1200
ERD-HT-10-004,6700
ERD-HT-10-005,28000
ERD-HT-10-006,141300
ERD-HT-10-007,400
ERD-HT-10-008,3000
FH-HT-10-001,210000
ACTED-HT-10-41 AFU 20Z,746
ACTED-HT-10-41 AIT,3028
ACTED-HT-10-41 AJE 18X,6855
ACTED-HT-10-41 AKW 56Z,2500
ACTED-HT-10-41 AKX 57Z,7200
ACTED-HT-10-41 AKY RE,12900
ACTED-HT-10-41 AKZ 58Z,6250
ACTED-HT-10-41 ALD AL,30000
ACTED-HT-10-41 ALI 32O,73800
ACTED-HT-10-41 ALK NV,7500
ACTED-HT-10-41 ALL,20000
ACTED-HT-10-41 ALS 28X,21800
ACTED-HT-10-41 AMB 64Z,7000
ACTED-HT-10-41 AME 23Y,427692
ACTED-HT-10-41 AMN 14I,20000
ACTED-HT-10-41 AMO 24Y,96000
ACTED-HT-10-41 AMU 69Z,10000
ACTED-HT-10-41 ANE F35,2725
ACTED-HT-10-41 ANQ 15I,7000
ACTED-HT-10-41 ANV,800
ACTED-HT-10-41 AON 81Z,12500
ACTED-HT-10-41 AOO 82Z,750
ACTED-HT-10-41 AOP 82Z,750
ACTED-HT-10-41 APO 31W,69735
ACTED-HT-10-41 APP 87Z,70500
ACTED-HT-10-41 APT 32W,
ACTED-HT-10-41 APX 09N,
ACTED-HT-10-41 AQN 11N,2055
ACTED-HT-10-41 ARR 13N,300000
ACTED-HT-10-41 ARS AM,1700
ACTED-HT-10-41 ARV 98Z,150
ACTED-HT-10-41 ARY KB,450
ACTED-HT-10-41 ASB KD,5000
ACTED-HT-10-41 ASM 47X,13353
ACTED-HT-10-41 XXX,62500
GLI-HT-10-016,50000
GLI-HT-10-017,50000
GLI-HT-10-018,80000
GLI-HT-10-019,80000
GLI-HT-10-020,5000
GLI-HT-10-021,5000
GLI-HT-10-022,5000
GLI-HT-10-023,50000
GLI-HT-10-024,
GLI-HT-10-1056,1000
HFHI-HT-10-001,950
HFHI-HT-10-002,10000
HFHI-HT-10-003,70200
HFHI-HT-10-004,5500
HFHI-HT-10-005,2360
HFHI-HT-10-006,400
HFHI-HT-10-007,2200
HFHI-HT-10-008,500
HFHI-HT-10-009,2390
HFHI-HT-10-010,10000
HFHI-HT-10-011,2000
HFHI-HT-10-012,10840
HFHI-HT-10-013,51580
HFHI-HT-10-014,1365
