Id,iso,_1st Administrative Level Name,lat,lon
176,AZE,Agdam,40.0212853,46.9898058
177,AZE,Agdas,40.56465103,47.3876575
178,AZE,Agstafa,41.26004088,45.46379019
179,AZE,Agsu,40.5144177,48.36506354
180,AZE,Astara,38.49926057,48.72554005
181,AZE,BArdA,40.32326907,47.19597433
182,AZE,BabAk,39.3031646,45.35699018
183,AZE,Baki,40.3114216,49.76628801
184,AZE,BalakAn,41.72783578,46.45003632
185,AZE,Beylaqan,39.79847204,47.6706268
186,AZE,Bilasuvar,39.5050672,48.46252182
187,AZE,Cabrayil,39.31651949,46.95698844
188,AZE,Calilabad,39.20479124,48.46548747
189,AZE,Culfa,39.16377186,45.68416298
190,AZE,Davaçi,41.16180417,48.86163104
191,AZE,Daskasan,40.45966254,46.01832331
192,AZE,Füzuli,39.56233926,47.3236718
193,AZE,Gadabay,40.56187866,45.66147868
194,AZE,Ganca,40.6860341,46.31977906
195,AZE,Goranboy,40.55507204,46.62923503
196,AZE,Göyçay,40.5616452,47.82220894
197,AZE,Haciqabul,40.09894448,48.88960149
198,AZE,Imisli,39.84757528,48.05113722
199,AZE,Ismayilli,40.79678867,48.14340819
200,AZE,Kalbacar,40.07325735,46.19171635
201,AZE,Kürdamir,40.2358472,48.17429942
202,AZE,Lankaran,39.43045321,47.24020247
203,AZE,Lerik,38.7118081,48.48407118
204,AZE,Masalli,38.98560806,48.72059656
205,AZE,Mingaçevir,40.75195042,46.98213767
206,AZE,Naxçivan,39.21475989,45.41738957
207,AZE,Neftçala,39.32250075,49.04984167
208,AZE,Oguz,41.05864836,47.48653746
209,AZE,Ordubad,39.04798219,45.93178088
210,AZE,Qabala,40.92419977,47.76412793
211,AZE,Qax,41.30312014,46.86040749
212,AZE,Qazax,41.18158675,45.22261853
213,AZE,Qobustan,40.51769395,48.91819081
214,AZE,Quba,41.1798028,48.40273537
215,AZE,Qubadli,39.33531746,46.61718649
216,AZE,Qusar,41.42347363,48.21887298
217,AZE,Sadarak,39.69919644,44.85184974
218,AZE,Saki,41.09302955,47.13877205
219,AZE,Samkir,40.84937221,46.03765817
220,AZE,Sarur,39.55490708,45.07033632
221,AZE,Saatli,39.81142696,48.46113401
222,AZE,Sabirabad,39.88608172,48.6747785
223,AZE,Sahbuz,39.44617349,45.6247522
224,AZE,Salyan,39.65193998,49.06043677
225,AZE,Samaxi,40.63599964,48.61004409
226,AZE,Samux,40.93267944,46.46018011
227,AZE,Siyazan,41.01250674,49.06264548
228,AZE,Sumqayit,40.59199292,49.59973468
229,AZE,Susa,39.68370782,46.64697891
230,AZE,Tartar,40.26775707,46.78594136
231,AZE,Tovuz,40.98820687,45.7629975
232,AZE,Ucar,40.41027536,47.72538878
233,AZE,Xaçmaz,41.56730681,48.71591758
234,AZE,Xanlar,40.5390807,46.29897285
235,AZE,Xizi,40.74083789,49.17960696
236,AZE,Xocali,39.85722605,46.7041485
237,AZE,Xocavand,39.64425273,46.98835947
238,AZE,Yardimli,38.88228412,48.25512276
239,AZE,Yevlax,40.70717835,46.99326826
240,AZE,Zangilan,39.08494692,46.64811442
241,AZE,Zarab,40.23008619,47.69381139
242,AZE,Zaqatala,41.58892767,46.68784868
243,BDI,Bubanza,-3.12457118,29.39929788
244,BDI,Bujumbura Mairie,-3.383808623,29.33621863
245,BDI,Bujumbura Rural,-3.498889462,29.39679293
246,BDI,Bururi,-3.89109064,29.55467308
247,BDI,Cankuzo,-3.141902677,30.60373681
248,BDI,Cibitoke,-2.818534389,29.22911805
249,BDI,Gitega,-3.492271178,29.92222866
250,BDI,Karuzi,-3.137381232,30.12023436
251,BDI,Kayanza,-3.007042886,29.65892448
252,BDI,Kirundo,-2.543300496,30.15750732
253,BDI,Makamba,-4.247748047,29.7356868
254,BDI,Muramvya,-3.271246715,29.65185655
255,BDI,Muyinga,-2.776274587,30.34732429
256,BDI,Mwaro,-3.490551137,29.71529938
257,BDI,Ngozi,-2.874635168,29.92458661
258,BDI,Rutana,-3.875026912,30.09493446
259,BDI,Ruyigi,-3.45801501,30.3227755
260,BEL,Antwerp,51.2306082,4.719421333
261,BEL,Brussels,50.83671277,4.370405792
262,BEL,East Flanders,51.03831669,3.815145605
263,BEL,Flemish Brabant,50.87407275,4.589827922
264,BEL,Hainaut,50.47036998,3.952404994
265,BEL,Liege,50.5218839,5.733607669
266,BEL,Limburg,50.99142227,5.431189819
267,BEL,Luxembourg,49.96240132,5.514642368
268,BEL,Namur,50.25598842,4.85056335
269,BEL,Walloon Brabant,50.67058296,4.582525008
270,BEL,West Flanders,51.01086845,3.058121438
271,BEN,Alibori,11.33421735,2.904159653
272,BEN,Atakora,10.69353439,1.581715982
273,BEN,Atlantique,6.611915626,2.22164273
274,BEN,Borgou,9.788361651,2.766480956
275,BEN,Collines,8.129299964,2.207144398
276,BEN,Donga,9.355628868,1.794703293
277,BEN,Kouffo,7.0276133,1.786397913
278,BEN,Littoral,6.364694726,2.411789752
279,BEN,Mono,6.584468955,1.825712042
280,BEN,Ouémé,6.626818073,2.539619686
281,BEN,Plateau,7.179498014,2.628894864
282,BEN,Zou,7.274657831,2.108615078
283,BFA,Balé,11.71466328,-3.077878696
284,BFA,Bam,13.45203281,-1.564366566
285,BFA,Banwa,12.24988368,-4.175017113
286,BFA,Bazéga,11.95270156,-1.445717184
